,gene_id,gene,From,Entry,Gene Names (primary),LOEUF,transcript,repressor,activator,sfari
866,ENSG00000175691,ZNF77,ZNF77,Q15935,ZNF77,1.646,ENST00000314531,False,False,False
867,ENSG00000198146,ZNF770,ZNF770,Q6IQ21,ZNF770,0.422,ENST00000356321,True,False,False
868,ENSG00000179965,ZNF771,ZNF771,Q7L3S4,ZNF771,1.46,ENST00000319296,True,False,False
869,ENSG00000197128,ZNF772,ZNF772,Q68DY9,ZNF772,1.121,ENST00000356584,False,False,False
870,ENSG00000152439,ZNF773,ZNF773,Q6PK81,ZNF773,1.367,ENST00000282292,False,False,False
871,ENSG00000196391,ZNF774,ZNF774,Q6NX45,ZNF774,1.645,ENST00000354377,False,False,True
872,ENSG00000196456,ZNF775,ZNF775,Q96BV0,ZNF775,1.87,ENST00000329630,True,False,False
873,ENSG00000152443,ZNF776,ZNF776,Q68DI1,ZNF776,1.231,ENST00000317178,False,False,False
874,ENSG00000196453,ZNF777,ZNF777,Q9ULD5,ZNF777,0.199,ENST00000247930,True,True,False
875,ENSG00000170100,ZNF778,ZNF778,Q96MU6,ZNF778,1.89,ENST00000433976,False,False,False
876,ENSG00000197782,ZNF780A,ZNF780A,O75290,ZNF780A,0.863,ENST00000683561,False,False,False
877,ENSG00000128000,ZNF780B,ZNF780B,Q9Y6R6,ZNF780B,0.868,ENST00000434248,False,False,False
878,ENSG00000196381,ZNF781,ZNF781,Q8N8C0,ZNF781,,ENST00000358582,False,False,False
879,ENSG00000196597,ZNF782,ZNF782,Q6ZMW2,ZNF782,1.416,ENST00000481138,False,False,False
880,ENSG00000204946,ZNF783,ZNF783,Q6ZMS7,ZNF783,1.145,ENST00000434415,False,False,False
881,ENSG00000179922,ZNF784,ZNF784,Q8NCA9,ZNF784,1.93,ENST00000325351,True,False,False
882,ENSG00000197162,ZNF785,ZNF785,A8K8V0,ZNF785,1.915,ENST00000395216,True,False,False
883,ENSG00000197362,ZNF786,ZNF786,Q8N393,ZNF786,1.166,ENST00000491431,False,False,False
884,ENSG00000142409,ZNF787,ZNF787,Q6DD87,ZNF787,1.214,ENST00000610935,False,False,False
885,ENSG00000214189,ZNF788,ZNF788,Q6ZQV5,ZNF788P,,,False,False,False
886,ENSG00000198556,ZNF789,ZNF789,Q5FWF6,ZNF789,1.072,ENST00000331410,False,False,False
887,ENSG00000196152,ZNF79,ZNF79,Q15937,ZNF79,1.149,ENST00000342483,False,False,False
888,ENSG00000197863,ZNF790,ZNF790,Q6PG37,ZNF790,1.134,ENST00000356725,False,False,False
889,ENSG00000173875,ZNF791,ZNF791,Q3KP31,ZNF791,0.937,ENST00000343325,False,False,False
890,ENSG00000180884,ZNF792,ZNF792,Q3KQV3,ZNF792,1.57,ENST00000404801,False,False,False
891,ENSG00000188227,ZNF793,ZNF793,Q6ZN11,ZNF793,0.809,ENST00000627814,False,False,False
892,ENSG00000196466,ZNF799,ZNF799,Q96GE5,ZNF799,1.052,ENST00000430385,False,False,False
893,ENSG00000278129,ZNF8,ZNF8,P17098,ZNF8,1.317,ENST00000621650,True,False,False
894,ENSG00000174255,ZNF80,ZNF80,P51504,ZNF80,1.878,ENST00000482457,False,False,False
895,ENSG00000048405,ZNF800,ZNF800,Q2TB10,ZNF800,0.358,ENST00000265827,True,False,False
896,ENSG00000170396,ZNF804A,ZNF804A,Q7Z570,ZNF804A,0.37,ENST00000302277,True,False,True
897,ENSG00000182348,ZNF804B,ZNF804B,A4D1E1,ZNF804B,0.9,ENST00000333190,True,False,False
898,ENSG00000204524,ZNF805,ZNF805,Q5CZA5,ZNF805,1.256,ENST00000414468,False,False,False
899,ENSG00000198482,ZNF808,ZNF808,Q8N4W9,ZNF808,1.194,ENST00000359798,False,False,False
900,ENSG00000197779,ZNF81,ZNF81,P51508,ZNF81,,,False,False,False
